id,entity_type,entity_id,alias,normalized_alias,language_code,source_id,is_preferred
1,category,cat-baked-noodles-ab0afe2b,Baked noodles,baked noodles,en,src-wikipedia-en,true
2,category,cat-baked-pasta-dishes-ba222166,Baked pasta dishes,baked pasta dishes,en,src-wikipedia-en,true
3,category,cat-baked-puddings-a541cf43,Baked puddings,baked puddings,en,src-wikipedia-en,true
4,category,cat-barbecue-skewers-1ac68e03,Barbecue skewers,barbecue skewers,en,src-wikipedia-en,true
5,category,cat-bean-dips-978ae030,Bean dips,bean dips,en,src-wikipedia-en,true
6,category,cat-bean-patties-8cb439b0,Bean patties,bean patties,en,src-wikipedia-en,true
7,category,cat-bean-soups-b54d6ea8,Bean soups,bean soups,en,src-wikipedia-en,true
8,category,cat-bean-stews-870649b6,Bean stews,bean stews,en,src-wikipedia-en,true
9,category,cat-beef-burgers-9c58e17d,Beef burgers,beef burgers,en,src-wikipedia-en,true
10,category,cat-boiled-dumplings-dc6fa4eb,Boiled dumplings,boiled dumplings,en,src-wikipedia-en,true
11,category,cat-braided-breads-e82e4c4d,Braided breads,braided breads,en,src-wikipedia-en,true
12,category,cat-braised-greens-505f6e2b,Braised greens,braised greens,en,src-wikipedia-en,true
13,category,cat-braises-and-roasts-6028fcc9,Braises and roasts,braises and roasts,en,src-wikipedia-en,true
14,category,cat-bread-puddings-62816464,Bread puddings,bread puddings,en,src-wikipedia-en,true
15,category,cat-bread-salads-09b18fd5,Bread salads,bread salads,en,src-wikipedia-en,true
16,category,cat-breads-and-loaves-c2814f9c,Breads and loaves,breads and loaves,en,src-wikipedia-en,true
17,category,cat-breakfast-bakes-32de95fa,Breakfast bakes,breakfast bakes,en,src-wikipedia-en,true
18,category,cat-breakfast-dishes-7ff5de50,Breakfast dishes,breakfast dishes,en,src-wikipedia-en,true
19,category,cat-breakfast-sandwiches-00986607,Breakfast sandwiches,breakfast sandwiches,en,src-wikipedia-en,true
20,category,cat-breakfast-sandwiches-81ce5a99,Breakfast sandwiches,breakfast sandwiches,en,src-wikipedia-en,true
21,category,cat-burgers-09c6dfae,Burgers,burgers,en,src-wikipedia-en,true
22,category,cat-burritos-2a9b6eae,Burritos,burritos,en,src-wikipedia-en,true
23,category,cat-butter-cakes-6e428da1,Butter cakes,butter cakes,en,src-wikipedia-en,true
24,category,cat-cakes-and-gateaux-d8e29f50,Cakes and gateaux,cakes and gateaux,en,src-wikipedia-en,true
25,category,cat-candies-d2f8c377,Candies,candies,en,src-wikipedia-en,true
26,category,cat-casseroles-and-bakes-43c0edef,Casseroles and bakes,casseroles and bakes,en,src-wikipedia-en,true
27,category,cat-cheesecakes-c5789d7e,Cheesecakes,cheesecakes,en,src-wikipedia-en,true
28,category,cat-chicken-burgers-2f0f46d4,Chicken burgers,chicken burgers,en,src-wikipedia-en,true
29,category,cat-chickpea-mains-94f3cb90,Chickpea mains,chickpea mains,en,src-wikipedia-en,true
30,category,cat-chile-dips-08c9f714,Chile dips,chile dips,en,src-wikipedia-en,true
31,category,cat-chile-sauces-04f0f00c,Chile sauces,chile sauces,en,src-wikipedia-en,true
32,category,cat-chile-stews-c3ddf724,Chile stews,chile stews,en,src-wikipedia-en,true
33,category,cat-chilled-soups-8fa0ec30,Chilled soups,chilled soups,en,src-wikipedia-en,true
34,category,cat-chip-snacks-7c92d826,Chip snacks,chip snacks,en,src-wikipedia-en,true
35,category,cat-chocolate-sweets-d19d61a1,Chocolate sweets,chocolate sweets,en,src-wikipedia-en,true
36,category,cat-chutneys-f6eca7ef,Chutneys,chutneys,en,src-wikipedia-en,true
37,category,cat-clear-soups-4a22af84,Clear soups,clear soups,en,src-wikipedia-en,true
38,category,cat-closed-sandwiches-f0867929,Closed sandwiches,closed sandwiches,en,src-wikipedia-en,true
39,category,cat-coconut-curries-ce68a9d5,Coconut curries,coconut curries,en,src-wikipedia-en,true
40,category,cat-cold-noodles-c249f52e,Cold noodles,cold noodles,en,src-wikipedia-en,true
41,category,cat-composed-salads-b4b1dc8d,Composed salads,composed salads,en,src-wikipedia-en,true
42,category,cat-confections-and-sweets-33dd665f,Confections and sweets,confections and sweets,en,src-wikipedia-en,true
43,category,cat-confits-deb60810,Confits,confits,en,src-wikipedia-en,true
44,category,cat-cookies-and-biscuits-55578132,Cookies and biscuits,cookies and biscuits,en,src-wikipedia-en,true
45,category,cat-crackers-8c593b91,Crackers,crackers,en,src-wikipedia-en,true
46,category,cat-creamy-pasta-dishes-c2439e9b,Creamy pasta dishes,creamy pasta dishes,en,src-wikipedia-en,true
47,category,cat-croquettes-cd265a20,Croquettes,croquettes,en,src-wikipedia-en,true
48,category,cat-curries-c13d2ace,Curries,curries,en,src-wikipedia-en,true
49,category,cat-curry-noodle-dishes-a072c0a3,Curry noodle dishes,curry noodle dishes,en,src-wikipedia-en,true
50,category,cat-custards-1cf2f976,Custards,custards,en,src-wikipedia-en,true
51,category,cat-custardy-egg-dishes-d4a51757,Custardy egg dishes,custardy egg dishes,en,src-wikipedia-en,true
52,category,cat-cutlets-dbb78ed5,Cutlets,cutlets,en,src-wikipedia-en,true
53,category,cat-dips-and-spreads-3b58ecf2,Dips and spreads,dips and spreads,en,src-wikipedia-en,true
54,category,cat-drop-cookies-260c1826,Drop cookies,drop cookies,en,src-wikipedia-en,true
55,category,cat-dry-curries-4c9dc499,Dry curries,dry curries,en,src-wikipedia-en,true
56,category,cat-dumpling-soups-bd716600,Dumpling soups,dumpling soups,en,src-wikipedia-en,true
57,category,cat-dumplings-and-buns-9a441702,Dumplings and buns,dumplings and buns,en,src-wikipedia-en,true
58,category,cat-egg-curries-472850b7,Egg curries,egg curries,en,src-wikipedia-en,true
59,category,cat-egg-dishes-91225177,Egg dishes,egg dishes,en,src-wikipedia-en,true
60,category,cat-egg-drop-dishes-401e621c,Egg drop dishes,egg drop dishes,en,src-wikipedia-en,true
61,category,cat-egg-rolls-7041b24e,Egg rolls,egg rolls,en,src-wikipedia-en,true
62,category,cat-emulsified-sauces-3861a9e3,Emulsified sauces,emulsified sauces,en,src-wikipedia-en,true
63,category,cat-fermented-pancakes-af66f50e,Fermented pancakes,fermented pancakes,en,src-wikipedia-en,true
64,category,cat-filled-crepes-1345fc0c,Filled crepes,filled crepes,en,src-wikipedia-en,true
65,category,cat-filled-omelets-f822ae82,Filled omelets,filled omelets,en,src-wikipedia-en,true
66,category,cat-fish-burgers-5739b076,Fish burgers,fish burgers,en,src-wikipedia-en,true
67,category,cat-fish-curries-3658a923,Fish curries,fish curries,en,src-wikipedia-en,true
68,category,cat-fish-curries-3c38ecdf,Fish curries,fish curries,en,src-wikipedia-en,true
69,category,cat-fish-spreads-aec4e03d,Fish spreads,fish spreads,en,src-wikipedia-en,true
70,category,cat-flatbread-wraps-35cf84cc,Flatbread wraps,flatbread wraps,en,src-wikipedia-en,true
71,category,cat-flatbreads-and-pizzas-f0961fe2,Flatbreads and pizzas,flatbreads and pizzas,en,src-wikipedia-en,true
72,category,cat-flourless-cakes-2a6013f8,Flourless cakes,flourless cakes,en,src-wikipedia-en,true
73,category,cat-fried-breakfasts-67120b2e,Fried breakfasts,fried breakfasts,en,src-wikipedia-en,true
74,category,cat-fried-chicken-dishes-50e30132,Fried chicken dishes,fried chicken dishes,en,src-wikipedia-en,true
75,category,cat-fried-dishes-and-fritters-31bc2558,Fried dishes and fritters,fried dishes and fritters,en,src-wikipedia-en,true
76,category,cat-fried-rice-dishes-7eac5b51,Fried rice dishes,fried rice dishes,en,src-wikipedia-en,true
77,category,cat-fried-sandwiches-cef754ca,Fried sandwiches,fried sandwiches,en,src-wikipedia-en,true
78,category,cat-fried-seafood-dishes-ddb6ed34,Fried seafood dishes,fried seafood dishes,en,src-wikipedia-en,true
79,category,cat-fritter-pancakes-fa0d09d3,Fritter pancakes,fritter pancakes,en,src-wikipedia-en,true
80,category,cat-fritter-snacks-3d8eb75c,Fritter snacks,fritter snacks,en,src-wikipedia-en,true
81,category,cat-fritters-513bb060,Fritters,fritters,en,src-wikipedia-en,true
82,category,cat-fudge-6d222744,Fudge,fudge,en,src-wikipedia-en,true
83,category,cat-glazed-roasts-fb9a4083,Glazed roasts,glazed roasts,en,src-wikipedia-en,true
84,category,cat-grain-salads-5e8d3cb9,Grain salads,grain salads,en,src-wikipedia-en,true
85,category,cat-gratins-f1293ece,Gratins,gratins,en,src-wikipedia-en,true
86,category,cat-green-salads-2c2b68fc,Green salads,green salads,en,src-wikipedia-en,true
87,category,cat-griddle-breakfasts-5f375fbb,Griddle breakfasts,griddle breakfasts,en,src-wikipedia-en,true
88,category,cat-griddled-flatbreads-91db0373,Griddled flatbreads,griddled flatbreads,en,src-wikipedia-en,true
89,category,cat-grilled-fish-dishes-85e1a886,Grilled fish dishes,grilled fish dishes,en,src-wikipedia-en,true
90,category,cat-grilled-meats-92e738d2,Grilled meats,grilled meats,en,src-wikipedia-en,true
91,category,cat-grilled-sandwiches-d00ea686,Grilled sandwiches,grilled sandwiches,en,src-wikipedia-en,true
92,category,cat-grilled-vegetables-ecfc509c,Grilled vegetables,grilled vegetables,en,src-wikipedia-en,true
93,category,cat-halva-like-sweets-9ab46694,Halva-like sweets,halva like sweets,en,src-wikipedia-en,true
94,category,cat-hand-pies-513c3b31,Hand pies,hand pies,en,src-wikipedia-en,true
