cuisine_id,category_id,sort_order
cui-wd-q787497,cat-noodle-dishes-f57723d0,1
cui-wd-q7033037,cat-soups-58c2caa7,1
cui-american-60d23958,cat-sandwiches-116c3e15,1
cui-wd-q192786,cat-pasta-dishes-18ec3e4d,1
cui-american-60d23958,cat-pies-and-pastries-eefde59e,2
cui-wd-q192786,cat-flatbreads-and-pizzas-f0961fe2,2
cui-american-60d23958,cat-pasta-dishes-18ec3e4d,3
cui-american-60d23958,cat-seafood-dishes-67642233,4
cui-wd-q192087,cat-rice-dishes-e5a0eea5,1
cui-wd-q234138,cat-noodle-dishes-f57723d0,1
cui-wd-q647500,cat-noodle-dishes-f57723d0,1
cui-wd-q7033037,cat-rice-dishes-e5a0eea5,2
cui-wd-q787497,cat-rice-dishes-e5a0eea5,2
cui-wd-q787497,cat-skewers-and-grilled-dishes-08780632,3
cui-wd-q841984,cat-noodle-dishes-f57723d0,1
cui-american-60d23958,cat-burgers-09c6dfae,5
cui-american-60d23958,cat-cakes-and-gateaux-d8e29f50,6
cui-american-60d23958,cat-puddings-and-custards-1664b0f1,7
cui-american-60d23958,cat-rice-dishes-e5a0eea5,8
cui-american-60d23958,cat-salads-aa3e870c,9
cui-american-60d23958,cat-snacks-and-street-food-7e6d6760,10
cui-american-60d23958,cat-soups-58c2caa7,11
cui-american-60d23958,cat-wraps-and-rolls-dd6f3471,12
cui-belgian-f69a2115,cat-breakfast-dishes-7ff5de50,1
cui-wd-q1324207,cat-flatbreads-and-pizzas-f0961fe2,1
cui-wd-q192786,cat-salads-aa3e870c,3
cui-wd-q207965,cat-flatbreads-and-pizzas-f0961fe2,1
cui-wd-q207965,cat-wraps-and-rolls-dd6f3471,2
cui-wd-q654493,cat-skewers-and-grilled-dishes-08780632,1
cui-wd-q6661,cat-salads-aa3e870c,1
cui-wd-q749847,cat-salads-aa3e870c,1
cui-american-60d23958,cat-breads-and-loaves-c2814f9c,13
cui-american-60d23958,cat-confections-and-sweets-33dd665f,14
cui-american-60d23958,cat-dips-and-spreads-3b58ecf2,15
cui-american-60d23958,cat-flatbreads-and-pizzas-f0961fe2,16
cui-american-60d23958,cat-pancakes-and-crepes-283edd96,17
cui-belgian-f69a2115,cat-snacks-and-street-food-7e6d6760,2
cui-russian-0a46376e,cat-salads-aa3e870c,1
cui-wd-q1068545,cat-burgers-09c6dfae,1
cui-wd-q1068545,cat-wraps-and-rolls-dd6f3471,2
cui-wd-q10876842,cat-stews-ce00fa93,1
cui-wd-q1089120,cat-rice-dishes-e5a0eea5,1
cui-wd-q1089120,cat-skewers-and-grilled-dishes-08780632,2
cui-wd-q1324207,cat-casseroles-and-bakes-43c0edef,2
cui-wd-q1324207,cat-pies-and-pastries-eefde59e,3
cui-wd-q1324207,cat-wraps-and-rolls-dd6f3471,4
cui-wd-q1328433,cat-egg-dishes-91225177,1
cui-wd-q1328433,cat-stews-ce00fa93,2
cui-wd-q1346230,cat-noodle-dishes-f57723d0,1
cui-wd-q139430,cat-flatbreads-and-pizzas-f0961fe2,1
cui-wd-q139430,cat-noodle-dishes-f57723d0,2
cui-wd-q139430,cat-sauces-and-condiments-10f97308,3
cui-wd-q1503789,cat-confections-and-sweets-33dd665f,1
cui-wd-q1520796,cat-pasta-dishes-18ec3e4d,1
cui-wd-q1520796,cat-rice-dishes-e5a0eea5,2
cui-wd-q180817,cat-breads-and-loaves-c2814f9c,1
cui-wd-q192087,cat-curries-c13d2ace,2
cui-wd-q192087,cat-snacks-and-street-food-7e6d6760,3
cui-wd-q192087,cat-soups-58c2caa7,4
cui-wd-q192087,cat-vegetable-and-legume-mains-b836795b,5
cui-wd-q192786,cat-breads-and-loaves-c2814f9c,4
