id,slug,name,normalized_name,description,primary_category_id,primary_cuisine_id,wikidata_qid,wikipedia_title,dbpedia_uri,popularity_rank,created_at,updated_at
fam-wd-q119496294,10-won-bread,10 Won Bread,10 won bread,Canonical starter dish entry for 10 Won Bread. Origin: South Korea. Seeded from Wikidata with an English Wikipedia sitelink.,cat-breads-and-loaves-c2814f9c,cui-wd-q647500,Q119496294,10 won bread,,1,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q130265510,3-in-1,3-in-1,3 in 1,Canonical starter dish entry for 3-in-1. Origin: Ireland. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q1068545,Q130265510,3-in-1 (fast food dish),,2,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q65248056,aakkoset,Aakkoset,aakkoset,Canonical starter dish entry for Aakkoset. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q65248056,Aakkoset,,3,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q3603155,abbamele,Abbamele,abbamele,Canonical starter dish entry for Abbamele. Origin: Italy. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q192786,Q3603155,Abbamele,,4,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q85850163,aboukir,Aboukir,aboukir,Canonical starter dish entry for Aboukir. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q85850163,Aboukir (cake),,5,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q65091072,abula,Abula,abula,Canonical starter dish entry for Abula. Origin: Nigeria. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q7033037,Q65091072,Abula (soup),,6,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q64490692,abunuabunu,Abunuabunu,abunuabunu,Canonical starter dish entry for Abunuabunu. Origin: Ghana. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q64490692,Abunuabunu,,7,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q4073388,achma,Achma,achma,Canonical starter dish entry for Achma. Origin: Georgia. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q1199026,Q4073388,Achma,,8,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q85739611,achu-soup,Achu soup,achu soup,Canonical starter dish entry for Achu soup. Origin: Cameroon. Seeded from Wikidata with an English Wikipedia sitelink.,cat-soups-58c2caa7,,Q85739611,Achu (soup),,9,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q7309432,acorda,Açorda,acorda,Canonical starter dish entry for Açorda. Origin: Portugal. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q180817,Q7309432,Açorda,,10,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
