dish_family_id,category_id,is_primary
fam-wd-q119496294,cat-breads-and-loaves-c2814f9c,true
fam-wd-q85739611,cat-soups-58c2caa7,true
fam-wd-q25055799,cat-salads-aa3e870c,true
fam-wd-q107358883,cat-salads-aa3e870c,true
fam-wd-q99654352,cat-pancakes-and-crepes-283edd96,true
fam-wd-q110738684,cat-breads-and-loaves-c2814f9c,true
fam-wd-q96371762,cat-rice-dishes-e5a0eea5,true
fam-wd-q997633,cat-sauces-and-condiments-10f97308,true
fam-wd-q4754282,cat-confections-and-sweets-33dd665f,true
fam-wd-q16301690,cat-burgers-09c6dfae,true
fam-wd-q864174,cat-noodle-dishes-f57723d0,true
fam-wd-q24839104,cat-breads-and-loaves-c2814f9c,true
fam-wd-q30592390,cat-soups-58c2caa7,true
fam-wd-q4833788,cat-wraps-and-rolls-dd6f3471,true
fam-wd-q96372980,cat-rice-dishes-e5a0eea5,true
fam-wd-q136393819,cat-pies-and-pastries-eefde59e,true
fam-wd-q138011108,cat-flatbreads-and-pizzas-f0961fe2,true
fam-wd-q7220887,cat-rice-dishes-e5a0eea5,true
fam-wd-q187495,cat-pies-and-pastries-eefde59e,true
fam-wd-q1293258,cat-noodle-dishes-f57723d0,true
fam-wd-q843795,cat-noodle-dishes-f57723d0,true
fam-wd-q16172783,cat-cakes-and-gateaux-d8e29f50,true
fam-wd-q125475914,cat-pies-and-pastries-eefde59e,true
fam-wd-q107323701,cat-rice-dishes-e5a0eea5,true
fam-wd-q564271,cat-dumplings-and-buns-9a441702,true
fam-wd-q88462839,cat-cakes-and-gateaux-d8e29f50,true
fam-wd-q24951925,cat-cakes-and-gateaux-d8e29f50,true
fam-wd-q4876265,cat-pies-and-pastries-eefde59e,true
fam-wd-q107416756,cat-breakfast-dishes-7ff5de50,true
fam-wd-q1022124,cat-braises-and-roasts-6028fcc9,true
fam-wd-q62271704,cat-breakfast-dishes-7ff5de50,true
fam-wd-q213105,cat-noodle-dishes-f57723d0,true
fam-wd-q1195276,cat-cakes-and-gateaux-d8e29f50,true
fam-wd-q271555,cat-rice-dishes-e5a0eea5,true
fam-wd-q85747395,cat-cakes-and-gateaux-d8e29f50,true
fam-wd-q3243732,cat-cookies-and-biscuits-55578132,true
fam-wd-q4835804,cat-snacks-and-street-food-7e6d6760,true
fam-wd-q109260442,cat-pancakes-and-crepes-283edd96,true
fam-wd-q137916343,cat-sandwiches-116c3e15,true
fam-wd-q116947279,cat-sandwiches-116c3e15,true
fam-wd-q4551,cat-soups-58c2caa7,true
fam-wd-q28173633,cat-breads-and-loaves-c2814f9c,true
fam-wd-q56292893,cat-seafood-dishes-67642233,true
fam-wd-q1855212,cat-breakfast-dishes-7ff5de50,true
fam-wd-q50634,cat-breads-and-loaves-c2814f9c,true
fam-wd-q123913891,cat-breads-and-loaves-c2814f9c,true
fam-wd-q85749574,cat-rice-dishes-e5a0eea5,true
fam-wd-q390823,cat-wraps-and-rolls-dd6f3471,true
fam-wd-q19712268,cat-rice-dishes-e5a0eea5,true
fam-wd-q5015278,cat-casseroles-and-bakes-43c0edef,true
fam-wd-q1302342,cat-stews-ce00fa93,true
fam-wd-q16850213,cat-snacks-and-street-food-7e6d6760,true
fam-wd-q5016282,cat-snacks-and-street-food-7e6d6760,true
fam-wd-q275508,cat-salads-aa3e870c,true
fam-wd-q5055611,cat-skewers-and-grilled-dishes-08780632,true
fam-wd-q1139527,cat-wraps-and-rolls-dd6f3471,true
fam-wd-q21087825,cat-noodle-dishes-f57723d0,true
fam-wd-q28209622,cat-confections-and-sweets-33dd665f,true
fam-wd-q7212986,cat-soups-58c2caa7,true
fam-wd-q568364,cat-salads-aa3e870c,true
fam-wd-q876624,cat-pasta-dishes-18ec3e4d,true
fam-wd-q136393820,cat-stews-ce00fa93,true
fam-wd-q85750898,cat-salads-aa3e870c,true
fam-wd-q109353074,cat-breads-and-loaves-c2814f9c,true
fam-wd-q1057953,cat-salads-aa3e870c,true
fam-wd-q703286,cat-noodle-dishes-f57723d0,true
fam-wd-q1061604,cat-curries-c13d2ace,true
fam-wd-q28169436,cat-skewers-and-grilled-dishes-08780632,true
fam-wd-q7185336,cat-rice-dishes-e5a0eea5,true
fam-wd-q5084201,cat-rice-dishes-e5a0eea5,true
fam-wd-q17006531,cat-skewers-and-grilled-dishes-08780632,true
fam-wd-q5092519,cat-pies-and-pastries-eefde59e,true
fam-wd-q25005355,cat-pies-and-pastries-eefde59e,true
fam-wd-q111589124,cat-wraps-and-rolls-dd6f3471,true
fam-wd-q863794,cat-stews-ce00fa93,true
fam-wd-q5331853,cat-stews-ce00fa93,true
fam-wd-q19895414,cat-curries-c13d2ace,true
fam-wd-q595744,cat-confections-and-sweets-33dd665f,true
fam-wd-q30186,cat-cakes-and-gateaux-d8e29f50,true
fam-wd-q15985102,cat-confections-and-sweets-33dd665f,true
fam-wd-q134125172,cat-confections-and-sweets-33dd665f,true
fam-wd-q1721876,cat-confections-and-sweets-33dd665f,true
fam-wd-q5103662,cat-confections-and-sweets-33dd665f,true
fam-wd-q25038426,cat-flatbreads-and-pizzas-f0961fe2,true
fam-wd-q20092696,cat-confections-and-sweets-33dd665f,true
fam-wd-q964107,cat-noodle-dishes-f57723d0,true
fam-wd-q556060,cat-cakes-and-gateaux-d8e29f50,true
fam-wd-q254979,cat-wraps-and-rolls-dd6f3471,true
fam-wd-q29019793,cat-pies-and-pastries-eefde59e,true
