dish_family_id,cuisine_id,relation_kind
fam-wd-q119496294,cui-wd-q647500,associated
fam-wd-q130265510,cui-wd-q1068545,associated
fam-wd-q3603155,cui-wd-q192786,associated
fam-wd-q65091072,cui-wd-q7033037,associated
fam-wd-q4073388,cui-wd-q1199026,associated
fam-wd-q7309432,cui-wd-q180817,associated
fam-wd-q19749023,cui-wd-q787497,associated
fam-wd-q30599785,cui-wd-q7033037,associated
fam-wd-q25055799,cui-wd-q383096,associated
fam-wd-q107358883,cui-wd-q7033037,associated
fam-wd-q3606603,cui-wd-q192786,associated
fam-wd-q21210955,cui-wd-q192786,associated
fam-wd-q20051,cui-wd-q6661,associated
fam-wd-q19949631,cui-wd-q207965,associated
fam-wd-q2827721,cui-wd-q1150262,associated
fam-wd-q11257037,cui-wd-q234138,associated
fam-wd-q4701369,cui-wd-q192087,associated
fam-wd-q5662130,cui-wd-q622512,associated
fam-wd-q30011777,cui-wd-q647500,associated
fam-wd-q110738684,cui-wd-q180817,associated
fam-wd-q9601457,cui-wd-q180817,associated
fam-wd-q4737104,cui-wd-q192087,associated
fam-wd-q133284186,cui-wd-q139430,associated
fam-wd-q4739207,cui-wd-q7033037,associated
fam-wd-q997633,cui-wd-q192786,associated
fam-wd-q9611817,cui-wd-q180817,associated
fam-wd-q30890348,cui-wd-q684343,associated
fam-wd-q481774,cui-wd-q6661,associated
fam-wd-q6821745,cui-wd-q647500,associated
fam-wd-q25064159,cui-wd-q47629,associated
fam-wd-q111913468,cui-wd-q918277,associated
fam-wd-q123256158,cui-wd-q180817,associated
fam-wd-q11113287,cui-wd-q787497,associated
fam-wd-q642702,cui-wd-q909057,associated
fam-wd-q12808559,cui-wd-q654493,associated
fam-wd-q100258740,cui-wd-q1036498,associated
fam-wd-q703832,cui-wd-q180817,associated
fam-wd-q4796545,cui-wd-q787497,associated
fam-wd-q720254,cui-wd-q579500,associated
fam-wd-q4803469,cui-wd-q787497,associated
fam-wd-q122999857,cui-wd-q7033037,associated
