dish_family_id,technique_id,role,is_core,weight
fam-wd-q119496294,tec-knead-4eb20c7d,core,true,1.000
fam-wd-q119496294,tec-proof-24fa378d,core,true,0.850
fam-wd-q119496294,tec-bake-6c2c6bda,supporting,false,0.700
fam-wd-q3603155,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q3603155,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q3603155,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q85739611,tec-simmer-4a118b1f,core,true,1.000
fam-wd-q85739611,tec-puree-c8c7256b,core,true,0.850
fam-wd-q85739611,tec-season-to-finish-6e59cbba,supporting,false,0.700
fam-wd-q25055799,tec-chop-1d857e6f,core,true,1.000
fam-wd-q25055799,tec-dress-salad-91d1ae3a,core,true,0.850
fam-wd-q25055799,tec-season-d2973ba3,supporting,false,0.700
fam-wd-q107358883,tec-chop-1d857e6f,core,true,1.000
fam-wd-q107358883,tec-dress-salad-91d1ae3a,core,true,0.850
fam-wd-q107358883,tec-season-d2973ba3,supporting,false,0.700
fam-wd-q3606603,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q3606603,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q3606603,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q21210955,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q21210955,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q21210955,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q20051,tec-sweat-aromatics-593b919d,core,true,1.000
fam-wd-q20051,tec-braise-4a3832ff,core,true,0.850
fam-wd-q20051,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q19949631,tec-toast-spices-1bf6f315,core,true,1.000
fam-wd-q19949631,tec-braise-4a3832ff,core,true,0.850
fam-wd-q19949631,tec-griddle-717e3046,supporting,false,0.700
fam-wd-q11257037,tec-steam-3f9d1489,core,true,1.000
fam-wd-q11257037,tec-grill-7732deea,core,true,0.850
fam-wd-q11257037,tec-slice-c5c54944,supporting,false,0.700
fam-wd-q4701369,tec-bloom-spices-969673dd,core,true,1.000
fam-wd-q4701369,tec-simmer-4a118b1f,core,true,0.850
fam-wd-q4701369,tec-temper-e0ec7440,supporting,false,0.700
fam-wd-q99654352,tec-whisk-297ea626,core,true,1.000
fam-wd-q99654352,tec-griddle-717e3046,core,true,0.850
fam-wd-q99654352,tec-fold-3d6b3a9d,supporting,false,0.700
fam-wd-q110738684,tec-knead-4eb20c7d,core,true,1.000
fam-wd-q110738684,tec-proof-24fa378d,core,true,0.850
fam-wd-q110738684,tec-bake-6c2c6bda,supporting,false,0.700
fam-wd-q96371762,tec-simmer-4a118b1f,core,true,1.000
fam-wd-q96371762,tec-steam-3f9d1489,core,true,0.850
fam-wd-q96371762,tec-rest-9a118f54,supporting,false,0.700
fam-wd-q4737104,tec-bloom-spices-969673dd,core,true,1.000
fam-wd-q4737104,tec-simmer-4a118b1f,core,true,0.850
fam-wd-q4737104,tec-temper-e0ec7440,supporting,false,0.700
fam-wd-q997633,tec-reduce-d97bb11e,core,true,1.000
fam-wd-q997633,tec-pickle-62549dfa,core,true,0.850
fam-wd-q997633,tec-emulsify-bd4af416,supporting,false,0.700
fam-wd-q997633,tec-coat-pasta-0f9ce17f,supporting,false,0.550
fam-wd-q481774,tec-sweat-aromatics-593b919d,core,true,1.000
fam-wd-q481774,tec-braise-4a3832ff,core,true,0.850
fam-wd-q481774,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q4754282,tec-caramelize-d17b034e,core,true,1.000
fam-wd-q4754282,tec-crystallize-5937cbc3,core,true,0.850
fam-wd-q16301690,tec-form-patties-e37967de,core,true,1.000
fam-wd-q16301690,tec-grill-7732deea,core,true,0.850
fam-wd-q16301690,tec-rest-after-cooking-b2985e35,supporting,false,0.700
fam-wd-q864174,tec-boil-29213ba5,core,true,1.000
fam-wd-q864174,tec-stir-fry-ee979e71,core,true,0.850
fam-wd-q864174,tec-season-to-finish-6e59cbba,supporting,false,0.700
fam-wd-q24839104,tec-knead-4eb20c7d,core,true,1.000
fam-wd-q24839104,tec-proof-24fa378d,core,true,0.850
fam-wd-q24839104,tec-bake-6c2c6bda,supporting,false,0.700
fam-wd-q137217603,tec-bloom-spices-969673dd,core,true,1.000
fam-wd-q137217603,tec-simmer-4a118b1f,core,true,0.850
fam-wd-q137217603,tec-temper-e0ec7440,supporting,false,0.700
fam-wd-q30592390,tec-simmer-4a118b1f,core,true,1.000
fam-wd-q30592390,tec-puree-c8c7256b,core,true,0.850
fam-wd-q30592390,tec-season-to-finish-6e59cbba,supporting,false,0.700
fam-wd-q951525,tec-bloom-spices-969673dd,core,true,1.000
fam-wd-q951525,tec-simmer-4a118b1f,core,true,0.850
fam-wd-q951525,tec-temper-e0ec7440,supporting,false,0.700
fam-wd-q4833788,tec-fill-crepes-6bab5c44,core,true,1.000
fam-wd-q4833788,tec-roll-82a127e4,core,true,0.850
fam-wd-q4833788,tec-stuff-996e573e,supporting,false,0.700
fam-wd-q63228690,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q63228690,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q63228690,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q3632533,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q3632533,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q3632533,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q96372980,tec-simmer-4a118b1f,core,true,1.000
fam-wd-q96372980,tec-steam-3f9d1489,core,true,0.850
fam-wd-q96372980,tec-rest-9a118f54,supporting,false,0.700
fam-wd-q136393819,tec-laminate-ca13220f,core,true,1.000
fam-wd-q136393819,tec-blind-bake-37c44eed,core,true,0.850
fam-wd-q136393819,tec-brush-wash-a5a993b1,supporting,false,0.700
fam-wd-q138011108,tec-knead-4eb20c7d,core,true,1.000
fam-wd-q138011108,tec-proof-24fa378d,core,true,0.850
fam-wd-q138011108,tec-bake-6c2c6bda,supporting,false,0.700
fam-wd-q7220887,tec-simmer-4a118b1f,core,true,1.000
fam-wd-q7220887,tec-steam-3f9d1489,core,true,0.850
fam-wd-q7220887,tec-rest-9a118f54,supporting,false,0.700
fam-wd-q14954819,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q14954819,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q14954819,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q187495,tec-laminate-ca13220f,core,true,1.000
fam-wd-q187495,tec-blind-bake-37c44eed,core,true,0.850
fam-wd-q187495,tec-brush-wash-a5a993b1,supporting,false,0.700
