from_dish_id,to_dish_id,relation_type,weight
dish-wd-q119496294,dish-wd-q110738684,same_category_neighbor,0.350
dish-wd-q110738684,dish-wd-q24839104,same_category_neighbor,0.350
dish-wd-q24839104,dish-wd-q28173633,same_category_neighbor,0.350
dish-wd-q28173633,dish-wd-q50634,same_category_neighbor,0.350
dish-wd-q50634,dish-wd-q123913891,same_category_neighbor,0.350
dish-wd-q123913891,dish-wd-q109353074,same_category_neighbor,0.350
dish-wd-q109353074,dish-wd-q135927668,same_category_neighbor,0.350
dish-wd-q135927668,dish-wd-q1756289,same_category_neighbor,0.350
dish-wd-q1756289,dish-wd-q109820549,same_category_neighbor,0.350
dish-wd-q109820549,dish-wd-q5643900,same_category_neighbor,0.350
dish-wd-q5643900,dish-wd-q97609970,same_category_neighbor,0.350
dish-wd-q97609970,dish-wd-q2202018,same_category_neighbor,0.350
dish-wd-q2202018,dish-wd-q111283137,same_category_neighbor,0.350
dish-wd-q111283137,dish-wd-q7087232,same_category_neighbor,0.350
dish-wd-q7087232,dish-wd-q11061604,same_category_neighbor,0.350
dish-wd-q11061604,dish-wd-q987291,same_category_neighbor,0.350
dish-wd-q987291,dish-wd-q5702275,same_category_neighbor,0.350
dish-wd-q5702275,dish-wd-q8031737,same_category_neighbor,0.350
dish-wd-q85739611,dish-wd-q30592390,same_category_neighbor,0.350
dish-wd-q30592390,dish-wd-q4551,same_category_neighbor,0.350
dish-wd-q4551,dish-wd-q7212986,same_category_neighbor,0.350
dish-wd-q7212986,dish-wd-q70241,same_category_neighbor,0.350
dish-wd-q70241,dish-wd-q14914664,same_category_neighbor,0.350
dish-wd-q14914664,dish-wd-q2082064,same_category_neighbor,0.350
dish-wd-q2082064,dish-wd-q5171049,same_category_neighbor,0.350
dish-wd-q5171049,dish-wd-q137908289,same_category_neighbor,0.350
dish-wd-q137908289,dish-wd-q125030544,same_category_neighbor,0.350
dish-wd-q125030544,dish-wd-q5305996,same_category_neighbor,0.350
dish-wd-q5305996,dish-wd-q113002820,same_category_neighbor,0.350
dish-wd-q113002820,dish-wd-q112787717,same_category_neighbor,0.350
dish-wd-q112787717,dish-wd-q15121455,same_category_neighbor,0.350
dish-wd-q15121455,dish-wd-q25220535,same_category_neighbor,0.350
dish-wd-q25220535,dish-wd-q16928375,same_category_neighbor,0.350
