source,target,edge_type,weight
cui-wd-q787497,cat-noodle-dishes-f57723d0,cuisine_category,1.000
cui-wd-q7033037,cat-soups-58c2caa7,cuisine_category,1.000
cui-american-60d23958,cat-sandwiches-116c3e15,cuisine_category,1.000
cui-wd-q192786,cat-pasta-dishes-18ec3e4d,cuisine_category,1.000
cui-american-60d23958,cat-pies-and-pastries-eefde59e,cuisine_category,1.000
cui-wd-q192786,cat-flatbreads-and-pizzas-f0961fe2,cuisine_category,1.000
cui-american-60d23958,cat-pasta-dishes-18ec3e4d,cuisine_category,1.000
cui-american-60d23958,cat-seafood-dishes-67642233,cuisine_category,1.000
cui-wd-q192087,cat-rice-dishes-e5a0eea5,cuisine_category,1.000
cui-wd-q234138,cat-noodle-dishes-f57723d0,cuisine_category,1.000
cui-wd-q647500,cat-noodle-dishes-f57723d0,cuisine_category,1.000
cui-wd-q7033037,cat-rice-dishes-e5a0eea5,cuisine_category,1.000
cui-wd-q787497,cat-rice-dishes-e5a0eea5,cuisine_category,1.000
cui-wd-q787497,cat-skewers-and-grilled-dishes-08780632,cuisine_category,1.000
cui-wd-q841984,cat-noodle-dishes-f57723d0,cuisine_category,1.000
cui-american-60d23958,cat-burgers-09c6dfae,cuisine_category,1.000
cui-american-60d23958,cat-cakes-and-gateaux-d8e29f50,cuisine_category,1.000
cui-american-60d23958,cat-puddings-and-custards-1664b0f1,cuisine_category,1.000
cui-american-60d23958,cat-rice-dishes-e5a0eea5,cuisine_category,1.000
cui-american-60d23958,cat-salads-aa3e870c,cuisine_category,1.000
cui-american-60d23958,cat-snacks-and-street-food-7e6d6760,cuisine_category,1.000
cui-american-60d23958,cat-soups-58c2caa7,cuisine_category,1.000
cui-american-60d23958,cat-wraps-and-rolls-dd6f3471,cuisine_category,1.000
cui-belgian-f69a2115,cat-breakfast-dishes-7ff5de50,cuisine_category,1.000
cui-wd-q1324207,cat-flatbreads-and-pizzas-f0961fe2,cuisine_category,1.000
cui-wd-q192786,cat-salads-aa3e870c,cuisine_category,1.000
cui-wd-q207965,cat-flatbreads-and-pizzas-f0961fe2,cuisine_category,1.000
