id,label,node_type,parent_id,cuisine_id,category_id,family_id,size_hint
cui-wd-q383096,Afghan,cuisine,,cui-wd-q383096,,,16
cui-wd-q1199173,Albanian,cuisine,,cui-wd-q1199173,,,16
cui-wd-q3006881,Algerian,cuisine,,cui-wd-q3006881,,,16
cui-american-60d23958,American,cuisine,,cui-american-60d23958,,,16
cui-wd-q579500,Argentine,cuisine,,cui-wd-q579500,,,16
cui-wd-q684343,Armenian,cuisine,,cui-wd-q684343,,,16
cui-wd-q783010,Australian,cuisine,,cui-wd-q783010,,,16
cui-wd-q42029,Austrian,cuisine,,cui-wd-q42029,,,16
cui-wd-q4855470,Bangladeshi,cuisine,,cui-wd-q4855470,,,16
cui-belgian-f69a2115,Belgian,cuisine,,cui-belgian-f69a2115,,,16
cui-wd-q614394,Brazilian,cuisine,,cui-wd-q614394,,,16
cui-wd-q918277,British,cuisine,,cui-wd-q918277,,,16
cui-wd-q139430,Cambodian,cuisine,,cui-wd-q139430,,,16
cui-wd-q1324207,Canadian,cuisine,,cui-wd-q1324207,,,16
cui-wd-q1729345,Caribbean,cuisine,,cui-wd-q1729345,,,16
cui-wd-q1145205,Chilean,cuisine,,cui-wd-q1145205,,,16
cui-wd-q10876842,Chinese,cuisine,,cui-wd-q10876842,,,16
cui-wd-q909057,Colombian,cuisine,,cui-wd-q909057,,,16
cui-wd-q1328358,Cuban,cuisine,,cui-wd-q1328358,,,16
cui-wd-q871595,Czech,cuisine,,cui-wd-q871595,,,16
cui-wd-q1346230,Egyptian,cuisine,,cui-wd-q1346230,,,16
cui-wd-q257508,Ethiopian,cuisine,,cui-wd-q257508,,,16
cui-wd-q1520796,Filipino,cuisine,,cui-wd-q1520796,,,16
cui-wd-q6661,French,cuisine,,cui-wd-q6661,,,16
cui-wd-q1199026,Georgian,cuisine,,cui-wd-q1199026,,,16
cui-wd-q47629,German,cuisine,,cui-wd-q47629,,,16
cui-wd-q744027,Greek,cuisine,,cui-wd-q744027,,,16
cui-wd-q264327,Hungarian,cuisine,,cui-wd-q264327,,,16
cui-wd-q192087,Indian,cuisine,,cui-wd-q192087,,,16
