id,slug,name,normalized_name,description,dish_id,parent_variation_id,variation_type,source_id,source_url,attribution_text,author_name,location_text,is_canonical,created_at,updated_at
var-10-won-bread-45f69aa2,10-won-bread,10 Won Bread,10 won bread,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q119496294,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q119496294,Canonical starter reference,,South Korea,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-3-in-1-991da12a,3-in-1,3-in-1,3 in 1,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q130265510,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q130265510,Canonical starter reference,,Ireland,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-aakkoset-8de98f5f,aakkoset,Aakkoset,aakkoset,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q65248056,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q65248056,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-abbamele-8d6c015f,abbamele,Abbamele,abbamele,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q3603155,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q3603155,Canonical starter reference,,Italy,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-aboukir-15c74971,aboukir,Aboukir,aboukir,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q85850163,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q85850163,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-abula-3fd20ce9,abula,Abula,abula,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q65091072,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q65091072,Canonical starter reference,,Nigeria,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-abunuabunu-72ad731e,abunuabunu,Abunuabunu,abunuabunu,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q64490692,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q64490692,Canonical starter reference,,Ghana,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-achma-ad83a247,achma,Achma,achma,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q4073388,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q4073388,Canonical starter reference,,Georgia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-achu-soup-56001127,achu-soup,Achu soup,achu soup,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q85739611,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q85739611,Canonical starter reference,,Cameroon,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-acorda-58fc9ec4,acorda,Açorda,acorda,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q7309432,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q7309432,Canonical starter reference,,Portugal,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-adrem-2afdb85a,adrem,adrem,adrem,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q19749023,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q19749023,Canonical starter reference,,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-afang-3a23f7f5,afang,Afang,afang,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q30599785,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q30599785,Canonical starter reference,,Nigeria,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-afghan-salad-f84fa770,afghan-salad,Afghan salad,afghan salad,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q25055799,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q25055799,Canonical starter reference,,Afghanistan,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
