entity_type,entity_id,alias,normalized_alias,language_code,source_id,is_preferred
cuisine,cui-wd-q383096,Afghan,afghan,en,src-wikipedia-en,true
cuisine,cui-wd-q1199173,Albanian,albanian,en,src-wikipedia-en,true
cuisine,cui-wd-q3006881,Algerian,algerian,en,src-wikipedia-en,true
cuisine,cui-american-60d23958,American,american,en,src-wikipedia-en,true
cuisine,cui-wd-q579500,Argentine,argentine,en,src-wikipedia-en,true
cuisine,cui-wd-q684343,Armenian,armenian,en,src-wikipedia-en,true
cuisine,cui-wd-q783010,Australian,australian,en,src-wikipedia-en,true
cuisine,cui-wd-q42029,Austrian,austrian,en,src-wikipedia-en,true
cuisine,cui-wd-q4855470,Bangladeshi,bangladeshi,en,src-wikipedia-en,true
cuisine,cui-belgian-f69a2115,Belgian,belgian,en,src-wikipedia-en,true
cuisine,cui-wd-q614394,Brazilian,brazilian,en,src-wikipedia-en,true
cuisine,cui-wd-q918277,British,british,en,src-wikipedia-en,true
cuisine,cui-wd-q139430,Cambodian,cambodian,en,src-wikipedia-en,true
cuisine,cui-wd-q1324207,Canadian,canadian,en,src-wikipedia-en,true
cuisine,cui-wd-q1729345,Caribbean,caribbean,en,src-wikipedia-en,true
cuisine,cui-wd-q1145205,Chilean,chilean,en,src-wikipedia-en,true
cuisine,cui-wd-q10876842,Chinese,chinese,en,src-wikipedia-en,true
cuisine,cui-wd-q909057,Colombian,colombian,en,src-wikipedia-en,true
cuisine,cui-wd-q1328358,Cuban,cuban,en,src-wikipedia-en,true
cuisine,cui-wd-q871595,Czech,czech,en,src-wikipedia-en,true
cuisine,cui-wd-q1346230,Egyptian,egyptian,en,src-wikipedia-en,true
cuisine,cui-wd-q257508,Ethiopian,ethiopian,en,src-wikipedia-en,true
cuisine,cui-wd-q1520796,Filipino,filipino,en,src-wikipedia-en,true
cuisine,cui-wd-q6661,French,french,en,src-wikipedia-en,true
cuisine,cui-wd-q1199026,Georgian,georgian,en,src-wikipedia-en,true
cuisine,cui-wd-q47629,German,german,en,src-wikipedia-en,true
cuisine,cui-wd-q744027,Greek,greek,en,src-wikipedia-en,true
cuisine,cui-wd-q264327,Hungarian,hungarian,en,src-wikipedia-en,true
cuisine,cui-wd-q192087,Indian,indian,en,src-wikipedia-en,true
cuisine,cui-wd-q787497,Indonesian,indonesian,en,src-wikipedia-en,true
cuisine,cui-wd-q9943666,Iranian,iranian,en,src-wikipedia-en,true
cuisine,cui-wd-q1036498,Iraqi,iraqi,en,src-wikipedia-en,true
cuisine,cui-wd-q1068545,Irish,irish,en,src-wikipedia-en,true
cuisine,cui-wd-q62458,Israeli,israeli,en,src-wikipedia-en,true
cuisine,cui-wd-q192786,Italian,italian,en,src-wikipedia-en,true
cuisine,cui-wd-q234138,Japanese,japanese,en,src-wikipedia-en,true
cuisine,cui-wd-q2915172,Jordanian,jordanian,en,src-wikipedia-en,true
cuisine,cui-wd-q647500,Korean,korean,en,src-wikipedia-en,true
cuisine,cui-wd-q929239,Lebanese,lebanese,en,src-wikipedia-en,true
cuisine,cui-wd-q772247,Malaysian,malaysian,en,src-wikipedia-en,true
cuisine,cui-wd-q934309,Mediterranean,mediterranean,en,src-wikipedia-en,true
cuisine,cui-wd-q207965,Mexican,mexican,en,src-wikipedia-en,true
