id,name,normalized_name,region,wikidata_qid,wikipedia_title,dbpedia_uri
cui-wd-q383096,Afghan,afghan,Central Asia,Q383096,Afghan cuisine,
cui-wd-q1199173,Albanian,albanian,Europe,Q1199173,Albanian cuisine,
cui-wd-q3006881,Algerian,algerian,North Africa,Q3006881,Algerian cuisine,
cui-american-60d23958,American,american,North America,,American cuisine,
cui-wd-q579500,Argentine,argentine,South America,Q579500,Argentine cuisine,
cui-wd-q684343,Armenian,armenian,West Asia,Q684343,Armenian cuisine,
cui-wd-q783010,Australian,australian,Oceania,Q783010,Australian cuisine,
cui-wd-q42029,Austrian,austrian,Europe,Q42029,Austrian cuisine,
cui-wd-q4855470,Bangladeshi,bangladeshi,South Asia,Q4855470,Bangladeshi cuisine,
cui-belgian-f69a2115,Belgian,belgian,Europe,,Belgian cuisine,
cui-wd-q614394,Brazilian,brazilian,South America,Q614394,Brazilian cuisine,
cui-wd-q918277,British,british,Europe,Q918277,British cuisine,
cui-wd-q139430,Cambodian,cambodian,Southeast Asia,Q139430,Cambodian cuisine,
cui-wd-q1324207,Canadian,canadian,North America,Q1324207,Canadian cuisine,
cui-wd-q1729345,Caribbean,caribbean,Caribbean,Q1729345,Caribbean cuisine,
cui-wd-q1145205,Chilean,chilean,South America,Q1145205,Chilean cuisine,
cui-wd-q10876842,Chinese,chinese,East Asia,Q10876842,Chinese cuisine,
cui-wd-q909057,Colombian,colombian,South America,Q909057,Colombian cuisine,
cui-wd-q1328358,Cuban,cuban,Caribbean,Q1328358,Cuban cuisine,
cui-wd-q871595,Czech,czech,Europe,Q871595,Czech cuisine,
cui-wd-q1346230,Egyptian,egyptian,North Africa,Q1346230,Egyptian cuisine,
cui-wd-q257508,Ethiopian,ethiopian,East Africa,Q257508,Ethiopian cuisine,
cui-wd-q1520796,Filipino,filipino,Southeast Asia,Q1520796,Filipino cuisine,
cui-wd-q6661,French,french,Europe,Q6661,French cuisine,
cui-wd-q1199026,Georgian,georgian,West Asia,Q1199026,Georgian cuisine,
cui-wd-q47629,German,german,Europe,Q47629,German cuisine,
cui-wd-q744027,Greek,greek,Europe,Q744027,Greek cuisine,
cui-wd-q264327,Hungarian,hungarian,Europe,Q264327,Hungarian cuisine,
cui-wd-q192087,Indian,indian,South Asia,Q192087,Indian cuisine,
cui-wd-q787497,Indonesian,indonesian,Southeast Asia,Q787497,Indonesian cuisine,
cui-wd-q9943666,Iranian,iranian,West Asia,Q9943666,Iranian cuisine,
cui-wd-q1036498,Iraqi,iraqi,West Asia,Q1036498,Iraqi cuisine,
cui-wd-q1068545,Irish,irish,Europe,Q1068545,Irish cuisine,
cui-wd-q62458,Israeli,israeli,West Asia,Q62458,Israeli cuisine,
cui-wd-q192786,Italian,italian,Europe,Q192786,Italian cuisine,
cui-wd-q234138,Japanese,japanese,East Asia,Q234138,Japanese cuisine,
cui-wd-q2915172,Jordanian,jordanian,West Asia,Q2915172,Jordanian cuisine,
cui-wd-q647500,Korean,korean,East Asia,Q647500,Korean cuisine,
cui-wd-q929239,Lebanese,lebanese,West Asia,Q929239,Lebanese cuisine,
cui-wd-q772247,Malaysian,malaysian,Southeast Asia,Q772247,Malaysian cuisine,
cui-wd-q934309,Mediterranean,mediterranean,Mediterranean,Q934309,Mediterranean cuisine,
cui-wd-q207965,Mexican,mexican,North America,Q207965,Mexican cuisine,
cui-wd-q1150262,Moroccan,moroccan,North Africa,Q1150262,Moroccan cuisine,
cui-wd-q1194855,Nepalese,nepalese,South Asia,Q1194855,Nepalese cuisine,
cui-wd-q7033037,Nigerian,nigerian,West Africa,Q7033037,Nigerian cuisine,
cui-wd-q1089120,Pakistani,pakistani,South Asia,Q1089120,Pakistani cuisine,
cui-wd-q749847,Peruvian,peruvian,South America,Q749847,Peruvian cuisine,
cui-wd-q756020,Polish,polish,Europe,Q756020,Polish cuisine,
cui-wd-q180817,Portuguese,portuguese,Europe,Q180817,Portuguese cuisine,
cui-russian-0a46376e,Russian,russian,Europe,,Russian cuisine,
cui-wd-q622512,Spanish,spanish,Europe,Q622512,Spanish cuisine,
cui-wd-q2234037,Sri Lankan,sri lankan,South Asia,Q2234037,Sri Lankan cuisine,
cui-wd-q4119264,Syrian,syrian,West Asia,Q4119264,Syrian cuisine,
cui-wd-q707908,Taiwanese,taiwanese,East Asia,Q707908,Taiwanese cuisine,
cui-wd-q841984,Thai,thai,Southeast Asia,Q841984,Thai cuisine,
cui-wd-q1328433,Tunisian,tunisian,North Africa,Q1328433,Tunisian cuisine,
cui-wd-q654493,Turkish,turkish,West Asia,Q654493,Turkish cuisine,
cui-wd-q1503789,Ukrainian,ukrainian,Europe,Q1503789,Ukrainian cuisine,
cui-uzbek-9106fe28,Uzbek,uzbek,Central Asia,,Uzbek cuisine,
cui-wd-q826059,Vietnamese,vietnamese,Southeast Asia,Q826059,Vietnamese cuisine,
