id,name,normalized_name,primary_category_id,primary_cuisine_id,wikidata_qid,wikipedia_title
fam-wd-q119496294,10 Won Bread,10 won bread,cat-breads-and-loaves-c2814f9c,cui-wd-q647500,Q119496294,10 won bread
fam-wd-q130265510,3-in-1,3 in 1,,cui-wd-q1068545,Q130265510,3-in-1 (fast food dish)
fam-wd-q65248056,Aakkoset,aakkoset,,,Q65248056,Aakkoset
fam-wd-q3603155,Abbamele,abbamele,,cui-wd-q192786,Q3603155,Abbamele
fam-wd-q85850163,Aboukir,aboukir,,,Q85850163,Aboukir (cake)
fam-wd-q65091072,Abula,abula,,cui-wd-q7033037,Q65091072,Abula (soup)
fam-wd-q64490692,Abunuabunu,abunuabunu,,,Q64490692,Abunuabunu
fam-wd-q4073388,Achma,achma,,cui-wd-q1199026,Q4073388,Achma
fam-wd-q85739611,Achu soup,achu soup,cat-soups-58c2caa7,,Q85739611,Achu (soup)
fam-wd-q7309432,Açorda,acorda,,cui-wd-q180817,Q7309432,Açorda
fam-wd-q19749023,adrem,adrem,,cui-wd-q787497,Q19749023,Adrem (snacks)
fam-wd-q30599785,Afang,afang,,cui-wd-q7033037,Q30599785,Afang soup
fam-wd-q25055799,Afghan salad,afghan salad,cat-salads-aa3e870c,cui-wd-q383096,Q25055799,Afghan salad
fam-wd-q107358883,African Salad,african salad,cat-salads-aa3e870c,cui-wd-q7033037,Q107358883,Abacha (food)
fam-wd-q10725547,Äggakaka,aggakaka,,,Q10725547,Äggakaka
fam-wd-q3606603,Agliata,agliata,,cui-wd-q192786,Q3606603,Agliata
fam-wd-q21210955,Agnolini,agnolini,,cui-wd-q192786,Q21210955,Agnolini
fam-wd-q20051,agnolotti,agnolotti,,cui-wd-q6661,Q20051,Agnolotti
fam-wd-q19949631,Aguachile,aguachile,,cui-wd-q207965,Q19949631,Aguachile
fam-wd-q123441,Ahle Wurst,ahle wurst,,,Q123441,Ahle Wurst
fam-wd-q2827721,Ahriche,ahriche,,cui-wd-q1150262,Q2827721,Ahriche
fam-wd-q4697660,AirHeads,airheads,,,Q4697660,Airheads (candy)
fam-wd-q2828762,Airwaves,airwaves,,,Q2828762,Airwaves (gum)
fam-wd-q61360646,Akhni,akhni,,,Q61360646,Akhni
fam-wd-q24946983,Akhuni,akhuni,,,Q24946983,Akhuni
fam-wd-q11257037,Akindo Sushiro,akindo sushiro,,cui-wd-q234138,Q11257037,Sushiro
fam-wd-q4701369,Akki rotti,akki rotti,,cui-wd-q192087,Q4701369,Akki rotti
fam-wd-q5662130,Alajú,alaju,,cui-wd-q622512,Q5662130,Alajú
fam-wd-q99654352,Åland pancake,aland pancake,cat-pancakes-and-crepes-283edd96,,Q99654352,Åland pancake
fam-wd-q30011777,albap,albap,,cui-wd-q647500,Q30011777,Albap
fam-wd-q110738684,Alentejano bread,alentejano bread,cat-breads-and-loaves-c2814f9c,cui-wd-q180817,Q110738684,Pao Alentejano
fam-wd-q9601457,aletria,aletria,,cui-wd-q180817,Q9601457,Aletria
fam-wd-q96371762,Aligue fried rice,aligue fried rice,cat-rice-dishes-e5a0eea5,,Q96371762,Aligue fried rice
fam-wd-q127433632,Alivongvong,alivongvong,,,Q127433632,Alivongvong
fam-wd-q118901115,almond chicken,almond chicken,,,Q118901115,Almond chicken
fam-wd-q254807,Älplermagronen,alplermagronen,,,Q254807,Älplermagronen
fam-wd-q4737104,Alu Potala Rasa,alu potala rasa,,cui-wd-q192087,Q4737104,Alu Potala Rasa
fam-wd-q133284186,Aluek trei ngeat,aluek trei ngeat,,cui-wd-q139430,Q133284186,Aluek trei ngeat
fam-wd-q4739207,Amala,amala,,cui-wd-q7033037,Q4739207,Amala (food)
fam-wd-q997633,amatriciana sauce,amatriciana sauce,cat-sauces-and-condiments-10f97308,cui-wd-q192786,Q997633,Amatriciana sauce
fam-wd-q9611817,Amêijoas à Bulhão Pato,ameijoas a bulhao pato,,cui-wd-q180817,Q9611817,Amêijoas à Bulhão Pato
fam-wd-q30890348,Amich,amich,,cui-wd-q684343,Q30890348,Amich
fam-wd-q107489664,Amiwô,amiwo,,,Q107489664,Amiwo
fam-wd-q2286933,Amsterdam ossenworst,amsterdam ossenworst,,,Q2286933,Ossenworst
fam-wd-q481774,amuse-bouche,amuse bouche,,cui-wd-q6661,Q481774,Amuse-bouche
fam-wd-q4754282,Andes Chocolate Mints,andes chocolate mints,cat-confections-and-sweets-33dd665f,,Q4754282,Andes chocolate mints
fam-wd-q2849577,angels on horseback,angels on horseback,,,Q2849577,Angels on horseback
fam-wd-q16301690,Angus burger,angus burger,cat-burgers-09c6dfae,,Q16301690,Angus burger
fam-wd-q137690873,Anishi,anishi,,,Q137690873,Anishi
fam-wd-q6821745,Ansungtangmyun,ansungtangmyun,,cui-wd-q647500,Q6821745,Ansungtangmyun
fam-wd-q864174,ants climbing a tree,ants climbing a tree,cat-noodle-dishes-f57723d0,,Q864174,Ants climbing a tree
fam-wd-q25064159,Apfelküchle,apfelkuchle,,cui-wd-q47629,Q25064159,Apfelküchle
fam-wd-q85742197,Apio,apio,,,Q85742197,Apio (appetizer)
fam-wd-q24839104,Apple Bread,apple bread,cat-breads-and-loaves-c2814f9c,,Q24839104,Apple bread
fam-wd-q111913468,apple crumble,apple crumble,,cui-wd-q918277,Q111913468,Apple crumble
fam-wd-q4782215,Apteekin salmiakki,apteekin salmiakki,,,Q4782215,Apteekin Salmiakki
fam-wd-q123256158,Areias,areias,,cui-wd-q180817,Q123256158,Areias (Portuguese food)
fam-wd-q11113287,Arem-Arem,arem arem,,cui-wd-q787497,Q11113287,Arem-arem
fam-wd-q642702,arepa,arepa,,cui-wd-q909057,Q642702,Arepa
fam-wd-q135319281,Arganak,arganak,,,Q135319281,Arganak
fam-wd-q12808559,Arnavut ciğeri,arnavut cigeri,,cui-wd-q654493,Q12808559,Arnavut ciğeri
fam-wd-q100258740,Arook,arook,,cui-wd-q1036498,Q100258740,Arook
fam-wd-q3462362,Arròs a banda,arros a banda,,,Q3462362,Arròs a banda
fam-wd-q703832,arroz de marisco,arroz de marisco,,cui-wd-q180817,Q703832,Arroz de marisco
fam-wd-q19872588,Arroz negro,arroz negro,,,Q19872588,Arroz negro (Mexican cuisine)
fam-wd-q4796545,Arsik,arsik,,cui-wd-q787497,Q4796545,Arsik
fam-wd-q720254,asado,asado,,cui-wd-q579500,Q720254,Asado
fam-wd-q4803469,asam pedas,asam pedas,,cui-wd-q787497,Q4803469,Asam pedas
fam-wd-q122999857,Asaro,asaro,,cui-wd-q7033037,Q122999857,Asaro (food)
fam-wd-q137217603,Ashoka Halwa,ashoka halwa,,cui-wd-q192087,Q137217603,Ashoka Halwa
