id,name,normalized_name,ingredient_kind,foodon_id
ing-mealdb-1,Chicken,chicken,mealdb-ingredient,FOODON_03411457
ing-mealdb-2,Salmon,salmon,mealdb-ingredient,FOODON_00003473
ing-mealdb-3,Beef,beef,mealdb-ingredient,
ing-mealdb-4,Pork,pork,mealdb-ingredient,
ing-mealdb-5,Avocado,avocado,mealdb-ingredient,FOODON_00003600
ing-mealdb-9,Apple Cider Vinegar,apple cider vinegar,mealdb-ingredient,
ing-mealdb-10,Asparagus,asparagus,mealdb-ingredient,
ing-mealdb-11,Aubergine,aubergine,mealdb-ingredient,
ing-mealdb-13,Baby Plum Tomatoes,baby plum tomatoes,mealdb-ingredient,
ing-mealdb-14,Bacon,bacon,mealdb-ingredient,
ing-mealdb-15,Baking Powder,baking powder,mealdb-ingredient,FOODON_03301940
ing-mealdb-16,Balsamic Vinegar,balsamic vinegar,mealdb-ingredient,FOODON_00005503
ing-mealdb-17,Basil,basil,mealdb-ingredient,
ing-mealdb-18,Basil Leaves,basil leaves,mealdb-ingredient,
ing-mealdb-19,Basmati Rice,basmati rice,mealdb-ingredient,
ing-mealdb-20,Bay Leaf,bay leaf,mealdb-ingredient,FOODON_00003802
ing-mealdb-21,Bay Leaves,bay leaves,mealdb-ingredient,
ing-mealdb-23,Beef Brisket,beef brisket,mealdb-ingredient,FOODON_02000189
ing-mealdb-24,Beef Fillet,beef fillet,mealdb-ingredient,
ing-mealdb-25,Beef Gravy,beef gravy,mealdb-ingredient,FOODON_03310598
ing-mealdb-26,Beef Stock,beef stock,mealdb-ingredient,
ing-mealdb-27,Bicarbonate Of Soda,bicarbonate of soda,mealdb-ingredient,
ing-mealdb-28,Biryani Masala,biryani masala,mealdb-ingredient,
ing-mealdb-29,Black Pepper,black pepper,mealdb-ingredient,
ing-mealdb-30,Black Treacle,black treacle,mealdb-ingredient,
ing-mealdb-31,Borlotti Beans,borlotti beans,mealdb-ingredient,
ing-mealdb-32,Bowtie Pasta,bowtie pasta,mealdb-ingredient,
ing-mealdb-33,Bramley Apples,bramley apples,mealdb-ingredient,
ing-mealdb-34,Brandy,brandy,mealdb-ingredient,FOODON_03301632
ing-mealdb-35,Bread,bread,mealdb-ingredient,FOODON_03000288
ing-mealdb-36,Breadcrumbs,breadcrumbs,mealdb-ingredient,FOODON_00005442
ing-mealdb-37,Broccoli,broccoli,mealdb-ingredient,
ing-mealdb-38,Brown Lentils,brown lentils,mealdb-ingredient,
ing-mealdb-39,Brown Rice,brown rice,mealdb-ingredient,
ing-mealdb-40,Brown Sugar,brown sugar,mealdb-ingredient,FOODON_03420156
ing-mealdb-41,Butter,butter,mealdb-ingredient,FOODON_03310351
ing-mealdb-43,Cacao,cacao,mealdb-ingredient,
ing-mealdb-44,Cajun,cajun,mealdb-ingredient,
ing-mealdb-45,Canned Tomatoes,canned tomatoes,mealdb-ingredient,
ing-mealdb-46,Cannellini Beans,cannellini beans,mealdb-ingredient,
ing-mealdb-47,Cardamom,cardamom,mealdb-ingredient,
ing-mealdb-49,Carrots,carrots,mealdb-ingredient,
ing-mealdb-50,Cashew Nuts,cashew nuts,mealdb-ingredient,
ing-mealdb-51,Cashews,cashews,mealdb-ingredient,
ing-mealdb-52,Caster Sugar,caster sugar,mealdb-ingredient,
ing-mealdb-53,Cayenne Pepper,cayenne pepper,mealdb-ingredient,FOODON_00003798
ing-mealdb-54,Celeriac,celeriac,mealdb-ingredient,
ing-mealdb-55,Celery,celery,mealdb-ingredient,
ing-mealdb-56,Celery Salt,celery salt,mealdb-ingredient,FOODON_03304738
ing-mealdb-57,Challots,challots,mealdb-ingredient,
ing-mealdb-58,Charlotte Potatoes,charlotte potatoes,mealdb-ingredient,
ing-mealdb-59,Cheddar Cheese,cheddar cheese,mealdb-ingredient,FOODON_03302458
ing-mealdb-60,Cheese,cheese,mealdb-ingredient,FOODON_03000287
ing-mealdb-61,Cheese Curds,cheese curds,mealdb-ingredient,
ing-mealdb-62,Cherry Tomatoes,cherry tomatoes,mealdb-ingredient,
ing-mealdb-63,Chestnut Mushroom,chestnut mushroom,mealdb-ingredient,
ing-mealdb-65,Chicken Breast,chicken breast,mealdb-ingredient,FOODON_00002703
ing-mealdb-66,Chicken Breasts,chicken breasts,mealdb-ingredient,
ing-mealdb-67,Chicken Legs,chicken legs,mealdb-ingredient,
ing-mealdb-68,Chicken Stock,chicken stock,mealdb-ingredient,
ing-mealdb-70,Chicken Thighs,chicken thighs,mealdb-ingredient,
ing-mealdb-71,Chickpeas,chickpeas,mealdb-ingredient,
ing-mealdb-72,Chili Powder,chili powder,mealdb-ingredient,FOODON_03302030
ing-mealdb-73,Chilled Butter,chilled butter,mealdb-ingredient,
ing-mealdb-74,Chilli,chilli,mealdb-ingredient,
ing-mealdb-75,Chilli Powder,chilli powder,mealdb-ingredient,
ing-mealdb-76,Chinese Broccoli,chinese broccoli,mealdb-ingredient,
ing-mealdb-77,Chocolate Chips,chocolate chips,mealdb-ingredient,
ing-mealdb-78,Chopped Onion,chopped onion,mealdb-ingredient,
ing-mealdb-79,Chopped Parsley,chopped parsley,mealdb-ingredient,
ing-mealdb-80,Chopped Tomatoes,chopped tomatoes,mealdb-ingredient,
ing-mealdb-81,Chorizo,chorizo,mealdb-ingredient,FOODON_03316070
ing-mealdb-82,Christmas Pudding,christmas pudding,mealdb-ingredient,FOODON_03307094
ing-mealdb-83,Cilantro,cilantro,mealdb-ingredient,
ing-mealdb-84,Cinnamon,cinnamon,mealdb-ingredient,FOODON_03301175
ing-mealdb-85,Cinnamon Stick,cinnamon stick,mealdb-ingredient,FOODON_03301224
ing-mealdb-87,Cloves,cloves,mealdb-ingredient,
ing-mealdb-88,Coco Sugar,coco sugar,mealdb-ingredient,
ing-mealdb-89,Cocoa,cocoa,mealdb-ingredient,FOODON_03301072
ing-mealdb-90,Coconut Cream,coconut cream,mealdb-ingredient,FOODON_03303088
ing-mealdb-91,Coconut Milk,coconut milk,mealdb-ingredient,FOODON_03303084
ing-mealdb-92,Colby Jack Cheese,colby jack cheese,mealdb-ingredient,
ing-mealdb-93,Cold Water,cold water,mealdb-ingredient,
ing-mealdb-94,Condensed Milk,condensed milk,mealdb-ingredient,
ing-mealdb-95,Coriander,coriander,mealdb-ingredient,FOODON_03310370
ing-mealdb-96,Coriander Leaves,coriander leaves,mealdb-ingredient,
ing-mealdb-97,Coriander Seeds,coriander seeds,mealdb-ingredient,
ing-mealdb-98,Corn Tortillas,corn tortillas,mealdb-ingredient,
ing-mealdb-99,Cornstarch,cornstarch,mealdb-ingredient,
ing-mealdb-100,Cream,cream,mealdb-ingredient,
ing-mealdb-101,Creme Fraiche,creme fraiche,mealdb-ingredient,
ing-mealdb-102,Cubed Feta Cheese,cubed feta cheese,mealdb-ingredient,
ing-mealdb-103,Cucumber,cucumber,mealdb-ingredient,FOODON_00003415
ing-mealdb-104,Cumin,cumin,mealdb-ingredient,
ing-mealdb-105,Cumin Seeds,cumin seeds,mealdb-ingredient,
ing-mealdb-106,Curry Powder,curry powder,mealdb-ingredient,FOODON_03301842
ing-mealdb-107,Dark Brown Sugar,dark brown sugar,mealdb-ingredient,
ing-mealdb-108,Dark Soft Brown Sugar,dark soft brown sugar,mealdb-ingredient,
ing-mealdb-109,Dark Soy Sauce,dark soy sauce,mealdb-ingredient,
ing-mealdb-110,Demerara Sugar,demerara sugar,mealdb-ingredient,FOODON_00002847
ing-mealdb-111,Diced Tomatoes,diced tomatoes,mealdb-ingredient,
ing-mealdb-112,Digestive Biscuits,digestive biscuits,mealdb-ingredient,
ing-mealdb-113,Dill,dill,mealdb-ingredient,
ing-mealdb-114,Doner Meat,doner meat,mealdb-ingredient,
ing-mealdb-115,Double Cream,double cream,mealdb-ingredient,
ing-mealdb-116,Dried Oregano,dried oregano,mealdb-ingredient,
